ID_Venda;ID_Loja;Produto;Categoria;Data_Venda;Qtd;Valor_Unitario
56;102;Mouse;Periféricos;2026-02-14;6.0;R$ 199,06
57;105;Smart TV;Eletrônicos;2026-02-16;1.0;R$ 5230,89
58;104;Mousepad;Periféricos;2026-01-09;7.0;R$ 180,26
59;102;   filtro de linha  ;Acessórios;2026-03-18;1.0;R$ 319,29
60;104;Mousepad;Periféricos;2026-01-02;5.0;R$ 145,1
61;104;Gaveteiro;Móveis;2026-02-27;2.0;R$ 1334,68
62;102;Câmera;;2026-01-25;1.0;R$ 5263,18
63;102;Cabo HDMI;Acessórios;2026-03-07;8.0;R$ 250,82
64;101;Headset;Periféricos;2026-01-19;1.0;R$ 326,53
65;102;Smart TV;Eletrônicos;2026-03-27;4.0;R$ 1278,94
66;101;Tablet;;2026-03-14;6.0;R$ 1124,1
67;104;Smartphone;Eletrônicos;2026-02-21;8.0;R$ 4124,35
68;103;   carregador  ;Acessórios;2026-02-27;10.0;R$ 108,57
69;104;Mousepad;Periféricos;2026-03-20;7.0;R$ 131,01
70;103;Suporte Monitor;Móveis;2026-02-20;5.0;R$ 1522,74
71;104;   capa protetora  ;Acessórios;2026-01-23;8.0;R$ 233,15
72;102;Filtro de Linha;Acessórios;2026-02-22;10.0;R$ 141,78
73;105;Suporte Monitor;Móveis;2026-03-15;5.0;R$ 974,57
74;105;Teclado;Periféricos;2026-01-24;8.0;R$ 111,24
75;101;   headset  ;Periféricos;2026-01-12;3.0;R$ 119,75
76;101;Mesa de Escritório;Móveis;2026-03-28;;R$ 525,69
77;103;Mouse;Periféricos;2026-02-28;;R$ 57,65
78;101;Teclado;Periféricos;2026-03-10;2.0;R$ 347,99
79;105;Webcam;Periféricos;2026-02-15;8.0;R$ 118,13
80;101;   monitor  ;Eletrônicos;2026-03-07;5.0;R$ 3904,01
81;101;Carregador;Acessórios;2026-03-20;8.0;R$ 116,12
82;104;Câmera;Eletrônicos;2026-01-09;10.0;R$ 3907,56
83;102;Mesa de Escritório;Móveis;2026-01-02;3.0;R$ 2043,78
84;104;   smartphone  ;Eletrônicos;2026-03-10;7.0;R$ 5230,58
85;101;Hub USB;Acessórios;2026-03-09;1.0;R$ 50,14
86;101;Cadeira Gamer;Móveis;2026-01-16;9.0;R$ 1733,32
87;104;Smartphone;Eletrônicos;2026-02-14;6.0;R$ 2308,97
88;104;Gaveteiro;Móveis;2026-03-02;8.0;R$ 493,73
89;105;Câmera;Eletrônicos;2026-03-15;7.0;R$ 1054,76
90;104;   monitor  ;Eletrônicos;2026-02-18;3.0;R$ 5160,06
91;105;Microfone;Periféricos;2026-01-10;9.0;R$ 24,51
92;101;Cabo HDMI;Acessórios;2026-03-27;3.0;R$ 184,46
93;104;Filtro de Linha;Acessórios;2026-02-18;3.0;R$ 146,58
94;101;Gaveteiro;Móveis;2026-02-26;;R$ 887,78
95;105;Filtro de Linha;Acessórios;2026-02-18;8.0;R$ 133,89
96;103;Microfone;;2026-01-19;7.0;R$ 97,08
97;104;Filtro de Linha;Acessórios;2026-02-02;3.0;R$ 185,76
98;104;Smart TV;Eletrônicos;2026-02-01;3.0;R$ 2726,9
99;103;Gaveteiro;Móveis;2026-03-03;6.0;R$ 2175,15
100;104;   smart tv  ;Eletrônicos;2026-01-08;5.0;R$ 5487,9
101;101;Filtro de Linha;Acessórios;2026-03-10;1.0;R$ 35,18
102;102;Webcam;Periféricos;2026-02-19;;R$ 76,09
103;102;Capa Protetora;Acessórios;2026-01-08;8.0;R$ 230,51
104;104;Mesa de Escritório;Móveis;2026-01-15;6.0;R$ 2472,83
105;104;Mesa de Escritório;Móveis;2026-02-28;8.0;R$ 534,64
106;103;   câmera  ;Eletrônicos;2026-02-09;1.0;R$ 3459,87
107;105;Hub USB;Acessórios;2026-01-20;6.0;R$ 92,27
108;102;   câmera  ;Eletrônicos;2026-03-02;;R$ 4506,47
109;103;Gaveteiro;Móveis;2026-01-07;3.0;R$ 2030,33
110;103;Headset;Periféricos;2026-02-26;5.0;R$ 266,36
111;102;Microfone;Periféricos;2026-03-22;7.0;R$ 339,2
112;101;   cadeira gamer  ;Móveis;2026-02-12;5.0;R$ 1586,03
113;102;Cabo HDMI;Acessórios;2026-03-18;6.0;R$ 322,03
114;103;Cabo HDMI;Acessórios;2026-01-02;1.0;R$ 120,44
115;102;Carregador;Acessórios;2026-02-22;9.0;R$ 158,31
116;101;Capa Protetora;Acessórios;2026-02-09;1.0;R$ 247,79
117;103;Câmera;Eletrônicos;2026-02-18;6.0;R$ 1084,59
118;104;Câmera;Eletrônicos;2026-01-21;;R$ 5364,14
119;105;   mouse  ;Periféricos;2026-03-07;10.0;R$ 91,26
120;105;   tablet  ;Eletrônicos;2026-01-05;9.0;R$ 1978,07
121;101;Mesa de Escritório;Móveis;2026-03-11;;R$ 683,34
122;101;   carregador  ;Acessórios;2026-02-17;10.0;R$ 55,99
123;105;   gaveteiro  ;Móveis;2026-03-01;1.0;R$ 2496,89
124;104;Notebook;Eletrônicos;2026-02-20;3.0;R$ 1108,71
125;103;   capa protetora  ;Acessórios;2026-03-10;8.0;R$ 186,83
126;105;   mousepad  ;Periféricos;2026-02-08;7.0;R$ 131,85
127;104;   suporte monitor  ;Móveis;2026-02-05;8.0;R$ 447,69
128;103;Webcam;Periféricos;2026-01-19;9.0;R$ 205,36
129;104;Tablet;Eletrônicos;2026-03-10;6.0;R$ 1286,92
130;101;Suporte Monitor;Móveis;2026-01-25;5.0;R$ 1563,02
131;105;Smart TV;Eletrônicos;2026-03-27;5.0;R$ 936,08
132;103;   monitor  ;Eletrônicos;2026-01-19;7.0;R$ 1127,05
133;105;Mousepad;Periféricos;2026-02-15;6.0;R$ 71,95
134;105;Notebook;Eletrônicos;2026-01-06;;R$ 1033,88
135;105;Carregador;Acessórios;2026-02-07;9.0;R$ 57,56
136;104;Cadeira Gamer;Móveis;2026-01-13;10.0;R$ 420,52
137;103;Suporte Monitor;Móveis;2026-01-01;8.0;R$ 1943,43
138;105;Cadeira Gamer;Móveis;2026-02-28;1.0;R$ 1259,68
139;104;Carregador;Acessórios;2026-02-04;7.0;R$ 26,88
140;103;Smartphone;Eletrônicos;2026-01-08;7.0;R$ 3567,7
141;103;Headset;Periféricos;2026-01-03;9.0;R$ 228,96
142;103;Teclado;Periféricos;2026-01-05;5.0;R$ 85,1
143;102;Carregador;Acessórios;2026-03-25;10.0;R$ 168,14
144;105;Suporte Monitor;Móveis;2026-01-15;2.0;R$ 1331,63
145;103;Tablet;Eletrônicos;2026-02-15;1.0;R$ 1067,38
146;101;Carregador;Acessórios;2026-03-18;1.0;R$ 168,41
147;104;   mouse  ;Periféricos;2026-02-04;;R$ 344,19
148;104;Capa Protetora;Acessórios;2026-03-20;3.0;R$ 140,09
149;105;Câmera;Eletrônicos;2026-03-11;2.0;R$ 2349,55
150;105;Headset;Periféricos;2026-01-19;3.0;R$ 322,53
151;102;Tablet;Eletrônicos;2026-03-13;6.0;R$ 4621,97
152;105;Câmera;Eletrônicos;2026-03-14;9.0;R$ 2500,59
153;104;Teclado;Periféricos;2026-01-05;2.0;R$ 117,61
154;105;Câmera;Eletrônicos;2026-02-25;10.0;R$ 1415,93
155;105;Microfone;Periféricos;2026-02-02;7.0;R$ 140,22
156;104;Webcam;Periféricos;2026-01-10;8.0;R$ 318,31
157;104;Hub USB;Acessórios;2026-02-17;9.0;R$ 158,16
158;103;Câmera;Eletrônicos;2026-02-28;6.0;R$ 3406,34
159;103;Monitor;Eletrônicos;2026-02-15;9.0;R$ 1492,54
160;104;Cadeira Gamer;Móveis;2026-02-02;7.0;R$ 1404,42
161;101;Cadeira Gamer;Móveis;2026-03-21;6.0;R$ 2041,04
162;102;Carregador;Acessórios;2026-03-01;2.0;R$ 26,27
163;105;Cabo HDMI;Acessórios;2026-02-08;5.0;R$ 60,21
164;101;Smartphone;Eletrônicos;2026-03-18;1.0;R$ 3770,19
165;101;   mesa de escritório  ;Móveis;2026-03-14;;R$ 1761,62
166;105;Smartphone;;2026-02-02;7.0;R$ 5410,89
167;103;   microfone  ;Periféricos;2026-03-21;2.0;R$ 274,6
168;105;Mesa de Escritório;Móveis;2026-03-15;8.0;R$ 1689,82
169;104;Tablet;Eletrônicos;2026-01-02;4.0;R$ 4963,21
170;105;Hub USB;;2026-01-25;4.0;R$ 114,42
171;103;Tablet;Eletrônicos;2026-02-13;8.0;R$ 5004,8
172;104;Suporte Monitor;Móveis;2026-01-24;7.0;R$ 473,64
173;103;Notebook;Eletrônicos;2026-02-22;5.0;R$ 2240,53
174;103;Cabo HDMI;Acessórios;2026-03-28;6.0;R$ 222,9
175;101;   câmera  ;Eletrônicos;2026-03-13;6.0;R$ 3211,5
176;105;Cabo HDMI;Acessórios;2026-01-03;4.0;R$ 276,91
177;105;Microfone;Periféricos;2026-02-12;;R$ 166,5
178;103;Mesa de Escritório;Móveis;2026-01-01;3.0;R$ 1397,9
179;103;Filtro de Linha;Acessórios;2026-03-10;8.0;R$ 86,06
180;104;Câmera;Eletrônicos;2026-02-22;6.0;R$ 4134,84
181;102;Headset;Periféricos;2026-03-08;2.0;R$ 345,09
182;103;Gaveteiro;Móveis;2026-03-05;;R$ 2245,34
183;104;Carregador;Acessórios;2026-03-03;3.0;R$ 340,89
184;103;Webcam;Periféricos;2026-03-19;3.0;R$ 273,37
185;101;Headset;Periféricos;2026-01-06;6.0;R$ 328,46
186;103;   tablet  ;Eletrônicos;2026-01-21;9.0;R$ 2089,92
187;102;Teclado;;2026-03-20;10.0;R$ 131,41
188;101;Câmera;Eletrônicos;2026-03-09;4.0;R$ 4404,71
189;105;Suporte Monitor;Móveis;2026-02-08;;R$ 954,35
190;104;Filtro de Linha;Acessórios;2026-02-20;3.0;R$ 123,15
191;104;Headset;Periféricos;2026-03-18;2.0;R$ 125,31
192;101;Tablet;Eletrônicos;2026-02-28;10.0;R$ 2765,23
193;105;   mesa de escritório  ;Móveis;2026-01-16;9.0;R$ 1326,99
194;104;Filtro de Linha;Acessórios;2026-01-19;6.0;R$ 36,06
195;104;Cadeira Gamer;Móveis;2026-01-14;3.0;R$ 2241,4
196;104;Smart TV;Eletrônicos;2026-03-07;;R$ 3400,15
197;103;Monitor;Eletrônicos;2026-01-13;6.0;R$ 4536,02
198;102;Capa Protetora;Acessórios;2026-01-02;1.0;R$ 65,22
199;105;Headset;Periféricos;2026-03-11;3.0;R$ 149,68
200;105;Capa Protetora;Acessórios;2026-02-16;1.0;R$ 141,56
201;101;Hub USB;Acessórios;2026-03-26;10.0;R$ 210,62
202;105;Filtro de Linha;Acessórios;2026-03-08;1.0;R$ 208,95
203;104;Mousepad;Periféricos;2026-03-07;7.0;R$ 185,6
204;101;Webcam;Periféricos;2026-01-18;6.0;R$ 349,38
205;104;Suporte Monitor;Móveis;2026-03-25;5.0;R$ 1642,17
206;102;Suporte Monitor;Móveis;2026-03-07;8.0;R$ 997,49
207;103;Cadeira Gamer;Móveis;2026-03-22;9.0;R$ 1135,33
208;102;Cadeira Gamer;Móveis;2026-02-23;2.0;R$ 1062,0
209;102;Suporte Monitor;Móveis;2026-01-04;10.0;R$ 1929,96
210;102;   mouse  ;Periféricos;2026-01-14;6.0;R$ 256,73
211;105;Mousepad;Periféricos;2026-03-16;8.0;R$ 234,68
212;101;Câmera;;2026-03-08;9.0;R$ 4271,83
213;104;Mouse;Periféricos;2026-02-26;8.0;R$ 81,48
214;101;Tablet;Eletrônicos;2026-03-20;2.0;R$ 5163,74
215;105;Filtro de Linha;Acessórios;2026-03-15;5.0;R$ 83,63
216;103;Mouse;Periféricos;2026-03-11;5.0;R$ 207,37
217;104;Capa Protetora;Acessórios;2026-02-03;7.0;R$ 240,85
218;102;Tablet;Eletrônicos;2026-02-08;8.0;R$ 4342,66
219;101;Suporte Monitor;Móveis;2026-03-08;1.0;R$ 1769,13
220;103;Câmera;Eletrônicos;2026-02-12;10.0;R$ 1837,99
221;105;Gaveteiro;Móveis;2026-03-18;8.0;R$ 1966,17
222;105;Smart TV;Eletrônicos;2026-02-17;6.0;R$ 1167,08
223;105;Webcam;Periféricos;2026-03-05;3.0;R$ 128,28
224;105;   cabo hdmi  ;Acessórios;2026-03-15;1.0;R$ 169,63
225;104;Cadeira Gamer;;2026-02-09;1.0;R$ 1940,77
226;101;Notebook;Eletrônicos;2026-02-02;5.0;R$ 2721,67
227;104;Gaveteiro;Móveis;2026-02-28;7.0;R$ 1126,42
228;103;Monitor;Eletrônicos;2026-03-13;9.0;R$ 1398,53
229;103;Capa Protetora;Acessórios;2026-02-18;7.0;R$ 291,71
230;101;Câmera;Eletrônicos;2026-02-20;;R$ 1931,13
231;101;   microfone  ;Periféricos;2026-01-13;8.0;R$ 97,33
232;105;Mesa de Escritório;Móveis;2026-03-19;6.0;R$ 1570,44
233;102;Mousepad;Periféricos;2026-02-09;1.0;R$ 203,72
234;104;   cabo hdmi  ;Acessórios;2026-02-21;7.0;R$ 279,32
235;104;Webcam;Periféricos;2026-02-08;4.0;R$ 119,24
236;105;   carregador  ;Acessórios;2026-03-17;3.0;R$ 148,18
237;104;   cadeira gamer  ;Móveis;2026-03-24;4.0;R$ 413,38
238;101;Webcam;Periféricos;2026-03-22;9.0;R$ 91,62
239;101;Teclado;Periféricos;2026-03-04;8.0;R$ 321,77
240;102;Suporte Monitor;Móveis;2026-02-15;9.0;R$ 1727,19
241;104;Câmera;Eletrônicos;2026-02-25;6.0;R$ 5097,35
242;102;Mouse;Periféricos;2026-02-18;10.0;R$ 211,12
243;104;Mousepad;Periféricos;2026-03-21;6.0;R$ 104,92
244;104;Filtro de Linha;Acessórios;2026-03-26;6.0;R$ 75,86
245;105;Smart TV;Eletrônicos;2026-01-27;2.0;R$ 5242,38
246;102;Câmera;Eletrônicos;2026-01-01;4.0;R$ 3176,94
247;105;Carregador;Acessórios;2026-01-01;;R$ 202,04
248;103;   smart tv  ;Eletrônicos;2026-03-22;7.0;R$ 4588,99
249;102;Teclado;Periféricos;2026-03-17;5.0;R$ 289,02
250;104;Capa Protetora;Acessórios;2026-01-23;4.0;R$ 118,99
251;101;   smartphone  ;Eletrônicos;2026-02-13;9.0;R$ 3037,22
252;104;Cadeira Gamer;Móveis;2026-03-02;4.0;R$ 765,12
253;101;   câmera  ;Eletrônicos;2026-02-18;10.0;R$ 3893,11
254;102;Microfone;Periféricos;2026-02-03;5.0;R$ 73,61
255;105;Gaveteiro;Móveis;2026-03-05;2.0;R$ 1401,74
256;101;Gaveteiro;Móveis;2026-02-01;5.0;R$ 2023,81
257;104;Filtro de Linha;Acessórios;2026-03-19;7.0;R$ 48,28
258;101;   mesa de escritório  ;Móveis;2026-02-23;3.0;R$ 1927,24
259;103;Hub USB;Acessórios;2026-02-04;3.0;R$ 48,81
260;101;   notebook  ;Eletrônicos;2026-02-18;2.0;R$ 3605,55
261;104;   cabo hdmi  ;Acessórios;2026-03-18;4.0;R$ 208,75
262;103;   gaveteiro  ;Móveis;2026-01-03;3.0;R$ 1256,29
263;103;   microfone  ;Periféricos;2026-03-16;10.0;R$ 223,5
264;104;Gaveteiro;Móveis;2026-02-15;6.0;R$ 1247,36
265;103;Mesa de Escritório;Móveis;2026-02-11;3.0;R$ 2422,06
266;104;Headset;Periféricos;2026-02-09;7.0;R$ 140,46
267;102;Câmera;Eletrônicos;2026-02-23;4.0;R$ 2860,74
268;104;Filtro de Linha;Acessórios;2026-03-10;4.0;R$ 103,38
269;104;   capa protetora  ;Acessórios;2026-02-18;9.0;R$ 324,75
270;103;Notebook;Eletrônicos;2026-01-22;6.0;R$ 1581,79
271;104;Gaveteiro;Móveis;2026-01-01;2.0;R$ 869,22
272;105;Mousepad;Periféricos;2026-02-13;8.0;R$ 274,87
273;101;Cabo HDMI;Acessórios;2026-02-14;2.0;R$ 58,3
274;104;   webcam  ;Periféricos;2026-02-12;8.0;R$ 52,22
275;101;Notebook;Eletrônicos;2026-02-21;2.0;R$ 3982,55
276;102;Headset;Periféricos;2026-03-14;8.0;R$ 96,51
277;104;Cabo HDMI;;2026-03-20;4.0;R$ 168,36
278;103;Smart TV;Eletrônicos;2026-01-26;9.0;R$ 1678,71
279;104;Gaveteiro;Móveis;2026-03-13;10.0;R$ 551,31
280;103;   câmera  ;Eletrônicos;2026-01-11;2.0;R$ 1921,29
281;104;Capa Protetora;Acessórios;2026-01-19;7.0;R$ 159,6
282;102;Mousepad;Periféricos;2026-02-05;3.0;R$ 123,81
283;101;Filtro de Linha;Acessórios;2026-01-27;7.0;R$ 338,06
284;104;Carregador;Acessórios;2026-01-03;10.0;R$ 30,18
285;105;Mesa de Escritório;Móveis;2026-02-19;8.0;R$ 1509,4
286;103;Câmera;Eletrônicos;2026-02-18;4.0;R$ 5451,95
287;103;Smartphone;Eletrônicos;2026-02-12;2.0;R$ 2863,63
288;105;Gaveteiro;Móveis;2026-01-20;3.0;R$ 2026,67
289;105;Mesa de Escritório;Móveis;2026-02-23;5.0;R$ 936,53
290;101;Mousepad;Periféricos;2026-01-09;3.0;R$ 251,47
291;102;Carregador;Acessórios;2026-01-19;5.0;R$ 227,18
292;101;Capa Protetora;Acessórios;2026-03-09;6.0;R$ 170,05
293;101;Hub USB;Acessórios;2026-01-26;9.0;R$ 151,25
294;103;Suporte Monitor;Móveis;2026-03-19;3.0;R$ 1545,51
295;101;Notebook;Eletrônicos;2026-03-26;8.0;R$ 876,52
296;104;Microfone;Periféricos;2026-01-21;5.0;R$ 72,46
297;103;Tablet;Eletrônicos;2026-03-21;3.0;R$ 1043,4
298;104;Câmera;Eletrônicos;2026-01-01;4.0;R$ 3040,99
299;101;   câmera  ;Eletrônicos;2026-02-27;2.0;R$ 5444,33
300;104;Câmera;Eletrônicos;2026-01-04;6.0;R$ 2527,54
301;102;Mouse;Periféricos;2026-03-19;1.0;R$ 221,41
302;102;Capa Protetora;Acessórios;2026-03-15;4.0;R$ 48,61
303;104;Gaveteiro;Móveis;2026-02-26;3.0;R$ 845,13
304;105;Cadeira Gamer;Móveis;2026-03-10;4.0;R$ 1439,05
305;101;Mousepad;Periféricos;2026-02-04;4.0;R$ 184,86
306;103;Mesa de Escritório;Móveis;2026-02-28;10.0;R$ 1225,9
307;101;Smart TV;Eletrônicos;2026-01-01;5.0;R$ 1813,99
308;103;   carregador  ;Acessórios;2026-03-13;2.0;R$ 231,38
309;101;Teclado;Periféricos;2026-03-11;7.0;R$ 213,52
310;103;   filtro de linha  ;Acessórios;2026-01-08;2.0;R$ 325,13
311;102;Notebook;Eletrônicos;2026-03-05;1.0;R$ 1570,01
312;103;Headset;Periféricos;2026-01-24;5.0;R$ 261,87
313;104;   cadeira gamer  ;Móveis;2026-02-23;10.0;R$ 1680,57
314;105;Headset;Periféricos;2026-01-09;2.0;R$ 315,11
315;101;Notebook;Eletrônicos;2026-01-02;8.0;R$ 2510,69
316;101;Filtro de Linha;Acessórios;2026-02-08;7.0;R$ 322,23
317;101;Monitor;Eletrônicos;2026-01-26;9.0;R$ 5412,65
318;103;Suporte Monitor;Móveis;2026-01-18;8.0;R$ 317,53
319;105;Mousepad;Periféricos;2026-02-19;8.0;R$ 349,27
320;102;   mouse  ;Periféricos;2026-02-01;4.0;R$ 198,71
321;103;Câmera;Eletrônicos;2026-02-28;5.0;R$ 1288,56
322;101;Microfone;Periféricos;2026-02-03;1.0;R$ 324,02
323;103;Cabo HDMI;Acessórios;2026-03-04;9.0;R$ 64,06
324;104;Teclado;Periféricos;2026-02-09;6.0;R$ 325,59
325;104;Mesa de Escritório;Móveis;2026-01-07;3.0;R$ 2015,86
326;104;Gaveteiro;Móveis;2026-01-18;6.0;R$ 2422,2
327;101;   monitor  ;Eletrônicos;2026-03-10;10.0;R$ 989,55
328;102;Gaveteiro;;2026-03-02;5.0;R$ 872,37
329;104;Mouse;Periféricos;2026-02-04;;R$ 60,08
330;102;   hub usb  ;Acessórios;2026-03-21;2.0;R$ 212,17
331;101;   microfone  ;Periféricos;2026-02-26;3.0;R$ 50,35
332;104;Monitor;Eletrônicos;2026-03-14;7.0;R$ 3131,79
333;102;Suporte Monitor;Móveis;2026-02-05;1.0;R$ 1651,03
334;105;Cabo HDMI;Acessórios;2026-01-09;7.0;R$ 65,29
335;105;Smartphone;Eletrônicos;2026-03-12;8.0;R$ 3359,23
336;104;   mesa de escritório  ;Móveis;2026-01-11;10.0;R$ 781,84
337;104;Mesa de Escritório;Móveis;2026-01-04;4.0;R$ 1745,1
338;101;Webcam;Periféricos;2026-02-12;3.0;R$ 78,11
339;105;Câmera;Eletrônicos;2026-03-12;10.0;R$ 3448,95
340;104;Mesa de Escritório;;2026-02-02;2.0;R$ 423,57
341;103;   teclado  ;Periféricos;2026-02-23;3.0;R$ 323,2
342;105;Mouse;Periféricos;2026-03-28;6.0;R$ 336,98
343;101;Suporte Monitor;Móveis;2026-02-05;3.0;R$ 1911,17
344;103;Microfone;Periféricos;2026-03-23;10.0;R$ 279,71
345;103;Mesa de Escritório;Móveis;2026-01-24;1.0;R$ 2387,33
346;105;   monitor  ;Eletrônicos;2026-03-11;10.0;R$ 1838,21
347;101;Headset;Periféricos;2026-02-06;2.0;R$ 291,15
348;101;   mesa de escritório  ;Móveis;2026-01-23;2.0;R$ 1071,06
349;104;Filtro de Linha;Acessórios;2026-02-16;7.0;R$ 135,91
350;105;   teclado  ;Periféricos;2026-02-03;1.0;R$ 117,32
351;102;Filtro de Linha;Acessórios;2026-03-03;9.0;R$ 330,81
352;104;Smartphone;Eletrônicos;2026-03-06;10.0;R$ 4981,84
353;102;   capa protetora  ;Acessórios;2026-03-24;9.0;R$ 107,54
354;105;Filtro de Linha;Acessórios;2026-01-12;1.0;R$ 161,11
355;102;Notebook;Eletrônicos;2026-01-06;5.0;R$ 5392,17
356;104;Hub USB;Acessórios;2026-01-21;9.0;R$ 147,88
357;101;Gaveteiro;Móveis;2026-02-09;4.0;R$ 2141,57
358;101;   câmera  ;Eletrônicos;2026-02-26;9.0;R$ 2745,74
359;104;Capa Protetora;Acessórios;2026-03-28;8.0;R$ 209,0
360;101;Mouse;Periféricos;2026-02-06;3.0;R$ 340,81
361;104;   microfone  ;Periféricos;2026-01-27;10.0;R$ 105,1
362;104;Capa Protetora;;2026-02-28;5.0;R$ 191,5
363;105;   cabo hdmi  ;Acessórios;2026-02-05;3.0;R$ 206,98
364;101;Tablet;Eletrônicos;2026-03-12;7.0;R$ 2041,44
365;102;Gaveteiro;Móveis;2026-01-20;10.0;R$ 1797,79
366;102;Câmera;Eletrônicos;2026-02-09;6.0;R$ 895,09
367;104;Monitor;Eletrônicos;2026-01-10;8.0;R$ 4437,95
368;101;Mousepad;Periféricos;2026-01-27;7.0;R$ 264,51
369;105;Mouse;Periféricos;2026-02-23;9.0;R$ 153,12
370;102;Teclado;Periféricos;2026-01-08;1.0;R$ 170,63
371;104;Cabo HDMI;Acessórios;2026-03-01;4.0;R$ 142,91
372;105;Suporte Monitor;Móveis;2026-01-27;5.0;R$ 1947,71
373;102;Teclado;;2026-03-08;4.0;R$ 108,8
374;101;Filtro de Linha;Acessórios;2026-03-06;10.0;R$ 284,29
375;103;Carregador;Acessórios;2026-02-15;5.0;R$ 92,01
376;105;Notebook;Eletrônicos;2026-03-22;6.0;R$ 3438,85
377;104;Tablet;Eletrônicos;2026-02-21;6.0;R$ 4849,01
378;103;Teclado;Periféricos;2026-03-25;4.0;R$ 316,9
379;103;Microfone;Periféricos;2026-01-21;8.0;R$ 349,16
380;101;Headset;Periféricos;2026-03-23;4.0;R$ 246,48
381;103;Mesa de Escritório;Móveis;2026-03-18;3.0;R$ 946,32
